Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
21879,6899,2,1530194400,,
21880,6932,2,1530194400,,
21881,6942,2,1530194400,,
21882,6947,2,1530194400,,
21883,6945,2,1530194400,,
21884,3477,2,1530194400,,
21885,6945,1,1530194400,,
21886,6936,2,1530194400,,
21887,6899,5,1530194400,16354,
21888,6952,2,1530194400,,
21889,6952,5,1530194400,16354,
21890,6929,2,1530194400,,
21891,6953,2,1530194400,,
21893,5100,11,1530194400,,
21894,6955,2,1530194400,,
21895,3959,5,1530194400,16602,
21896,2994,2,1530194400,,
21897,6954,2,1530194400,,
21898,6953,16,1530194400,,
21899,6953,2,1530194400,,
21900,6954,2,1530194400,,
21901,6955,2,1530194400,,
21902,6952,2,1530194400,,
21903,6946,2,1530194400,,
21904,6937,2,1530194400,,
21905,6934,2,1530194400,,
21906,6936,2,1530194400,,
21907,6940,2,1530194400,,
21908,6932,2,1530194400,,
21909,6942,2,1530194400,,
21910,6947,2,1530194400,,
21911,6921,2,1530194400,,
21912,6922,2,1530194400,,
21913,6926,2,1530194400,,
21914,6933,2,1530194400,,
21915,6943,2,1530194400,,
21916,6959,5,1530194400,7800,
21917,4781,15,1530194400,,
21918,6959,2,1530194400,,
21919,6879,2,1530194400,,
21920,6960,2,1530194400,,
21921,6960,1,1530194400,,
21922,6959,2,1530194400,,
21923,6805,2,1530280800,,
21925,6936,1,1530280800,,
21926,6961,2,1530280800,,
21927,6961,2,1530280800,,
21928,6855,2,1530280800,,
21929,6892,2,1530280800,,
21931,5769,2,1530280800,,
21932,5769,5,1530280800,16616,
21933,6899,2,1530280800,,
21934,6963,3,1530280800,,
21935,6963,3,1530280800,,
21936,6963,15,1530280800,,
21937,6963,3,1530280800,,
21938,6963,12,1530280800,,
21939,6963,10,1530280800,,
21940,6964,15,1530280800,,
21941,6966,2,1530280800,,
21942,6967,2,1530280800,,
21943,6809,5,1530280800,12080,
21944,6741,5,1530280800,12080,
21945,6255,5,1530280800,12080,
21946,5121,5,1530280800,12080,
21947,6965,2,1530280800,,
21948,6966,2,1530280800,,
21949,6895,10,1530367200,,
21950,6938,2,1530367200,,
21951,6868,2,1530367200,,
21952,6868,2,1530367200,,
21953,6872,2,1530367200,,
21955,6507,2,1530367200,,
21956,6968,2,1530367200,,
21957,4044,2,1530367200,,
21958,4726,3,1530367200,,
21960,4482,2,1530367200,,
21961,4483,2,1530367200,,
21962,2810,2,1530367200,,
21963,6715,2,1530367200,,
21964,6949,16,1530367200,,
21965,6968,2,1530367200,,
21966,6975,2,1530367200,,
21967,6978,2,1530367200,,
21968,6974,1,1530367200,,
21969,6978,2,1530367200,,
21970,6973,15,1530367200,,
21971,6977,15,1530367200,,
21972,6978,2,1530367200,,
21974,6927,5,1530367200,1581,
21975,6903,2,1530367200,,
21976,6967,1,1530367200,,
21977,6927,5,1530367200,12061,
21978,2005,2,1530367200,,
21979,2006,2,1530367200,,
21980,6978,2,1530367200,,
21981,6937,10,1530367200,,
21982,6979,15,1530367200,,
21983,6965,2,1530453600,,
21984,6982,2,1530453600,,
21985,6983,2,1530453600,,
21986,6982,2,1530453600,,
21987,6618,2,1530453600,,
21988,1917,2,1530453600,,
21989,6977,16,1530453600,,
21990,6983,2,1530453600,,
21991,6983,1,1530453600,,
21992,6907,1,1530453600,,
21993,1485,2,1530453600,,
21994,1523,2,1530453600,,
21995,6978,2,1530453600,,
21996,6975,16,1530453600,,
21997,6916,16,1530453600,,
21998,2810,16,1530453600,,
21999,6986,2,1530453600,,
22000,6985,2,1530453600,,
22001,6982,2,1530453600,,
22002,6983,2,1530453600,,
22003,6977,2,1530453600,,
22004,6984,2,1530453600,,
22005,6987,2,1530453600,,
22006,1485,2,1530453600,,
22007,1523,2,1530453600,,
22008,6990,2,1530540000,,
22010,2009,2,1530540000,,
22011,5763,2,1530540000,,
22012,6990,2,1530540000,,
22013,6991,2,1530540000,,
22014,6800,2,1530540000,,
22015,6808,2,1530540000,,
22016,6806,2,1530540000,,
22017,6805,2,1530540000,,
22018,6821,2,1530540000,,
22019,6813,2,1530540000,,
22020,6802,2,1530540000,,
22021,6980,2,1530540000,,
22022,6903,2,1530540000,,
22023,6904,2,1530540000,,
22024,2231,2,1530540000,,
22025,6993,2,1530540000,,
22026,6993,16,1530540000,,
22028,6994,2,1530540000,,
22029,6991,3,1530540000,,
22030,6999,1,1530540000,,
22031,6998,2,1530540000,,
22032,7000,2,1530540000,,
22033,6998,2,1530540000,,
22034,6997,2,1530540000,,
22035,6996,2,1530540000,,
22036,6995,2,1530540000,,
22037,7002,10,1530540000,,
